Class,Method,Inferred Type,Original Type,Source Code,Comments
[s]MiniMagick::Configuration,extended,(MiniMagick::Configuration) -> XXX,,"def self.extended(base)
      base.validate_on_create = true
      base.validate_on_write = true
      base.whiny = true
      base.shell_api = ""open3""
      base.logger = Logger.new($stdout).tap { |l| l.level = Logger::INFO }
    end",""
MiniMagick::Configuration,configure,() { (MiniMagick::Configuration) -> XXX } -> XXX,,"def configure
      yield self
    end","##
# @yield [self]
# @example
#   MiniMagick.configure do |config|
#     config.cli = :graphicsmagick
#     config.timeout = 5
#   end
#
"
MiniMagick::Configuration,processor,() -> String,,"def processor
      @processor ||= CLI_DETECTION.values.detect do |processor|
        MiniMagick::Utilities.which(processor)
      end
    end","# @private (for backwards compatibility)
"
MiniMagick::Configuration,processor=,([ to_s: () -> String ]) -> XXX,,"def processor=(processor)
      @processor = processor.to_s

      unless CLI_DETECTION.value?(@processor)
        raise ArgumentError,
          ""processor has to be set to either \""magick\"", \""mogrify\"" or \""gm\"""" \
          "", was set to #{@processor.inspect}""
      end
    end","# @private (for backwards compatibility)
"
MiniMagick::Configuration,cli=,([ inspect: () -> XXX ]) -> nil,,"def cli=(value)
      @cli = value

      if not CLI_DETECTION.key?(@cli)
        raise ArgumentError,
          ""CLI has to be set to either :imagemagick, :imagemagick7 or :graphicsmagick"" \
          "", was set to #{@cli.inspect}""
      end
    end","##
# Set whether you want to use [ImageMagick](http://www.imagemagick.org) or
# [GraphicsMagick](http://www.graphicsmagick.org).
#
"
MiniMagick::Configuration,debug=,(XXX) -> XXX,,"def debug=(value)
      warn ""MiniMagick.debug is deprecated and will be removed in MiniMagick 5. Use `MiniMagick.logger.level = Logger::DEBUG` instead.""
      logger.level = value ? Logger::DEBUG : Logger::INFO
    end","##
# When set to `true`, it outputs each command to STDOUT in their shell
# version.
#
"
MiniMagick::Configuration,reload_tools,() -> nil,,"def reload_tools
      warn ""MiniMagick.reload_tools is deprecated because it is no longer necessary""
    end","# Backwards compatibility
"
[s]MiniMagick::Image,read,"((IO or String), ?[ to_s: () -> String ]) -> XXX",,"def self.read(stream, ext = nil)
      if stream.is_a?(String)
        stream = StringIO.new(stream)
      end

      create(ext) { |file| IO.copy_stream(stream, file) }
    end","##
# This is the primary loading method used by all of the other class
# methods.
#
# Use this to pass in a stream object. Must respond to #read(size) or be a
# binary string object (BLOBBBB)
#
# Probably easier to use the {.open} method if you want to open a file or a
# URL.
#
# @param stream [#read, String] Some kind of stream object that needs
#   to be read or is a binary String blob
# @param ext [String] A manual extension to use for reading the file. Not
#   required, but if you are having issues, give this a try.
# @return [MiniMagick::Image]
#
"
[s]MiniMagick::Image,import_pixels,"(XXX, XXX, XXX, XXX, XXX, ?XXX) -> XXX",,"def self.import_pixels(blob, columns, rows, depth, map, format = 'png')
      # Create an image object with the raw pixel data string:
      create("".dat"", false) { |f| f.write(blob) }.tap do |image|
        output_path = image.path.sub(/\.\w+$/, "".#{format}"")
        # Use ImageMagick to convert the raw data file to an image file of the
        # desired format:
        MiniMagick::Tool::Convert.new do |convert|
          convert.size ""#{columns}x#{rows}""
          convert.depth depth
          convert << ""#{map}:#{image.path}""
          convert << output_path
        end

        image.path.replace output_path
      end
    end","##
# Creates an image object from a binary string blob which contains raw
# pixel data (i.e. no header data).
#
# @param blob [String] Binary string blob containing raw pixel data.
# @param columns [Integer] Number of columns.
# @param rows [Integer] Number of rows.
# @param depth [Integer] Bit depth of the encoded pixel data.
# @param map [String] A code for the mapping of the pixel data. Example:
#   'gray' or 'rgb'.
# @param format [String] The file extension of the image format to be
#   used when creating the image object.
# Defaults to 'png'.
# @return [MiniMagick::Image] The loaded image.
#
"
[s]MiniMagick::Image,create,"(?[ to_s: () -> String ], ?XXX) { XXX } -> XXX",,"def self.create(ext = nil, validate = MiniMagick.validate_on_create, &block)
      tempfile = MiniMagick::Utilities.tempfile(ext.to_s.downcase, &block)

      new(tempfile.path, tempfile).tap do |image|
        image.validate! if validate
      end
    end","##
# Used to create a new Image object data-copy. Not used to ""paint"" or
# that kind of thing.
#
# Takes an extension in a block and can be used to build a new Image
# object. Used by both {.open} and {.read} to create a new object. Ensures
# we have a good tempfile.
#
# @param ext [String] Specify the extension you want to read it as
# @param validate [Boolean] If false, skips validation of the created
#   image. Defaults to true.
# @yield [Tempfile] You can #write bits to this object to create the new
#   Image
# @return [MiniMagick::Image] The created image
#
"
