Class,Method Name,Arg/Ret/Var,Variable Name,Inferred Type,Original Type,Exact (E) / Up to Parameter (P) / Got Type (T) / None (N),Solution Source,Source Code
[s]MiniMagick::Image,read,Arg,stream,(IO or String),(String or [ read: (*%any) -> String ]),T,Constraints,"def self.read(stream, ext = nil)
      if stream.is_a?(String)
        stream = StringIO.new(stream)
      end

      create(ext) { |file| IO.copy_stream(stream, file) }
    end"
[s]MiniMagick::Image,read,Arg,ext,?String,String,E,Constraints,"def self.read(stream, ext = nil)
      if stream.is_a?(String)
        stream = StringIO.new(stream)
      end

      create(ext) { |file| IO.copy_stream(stream, file) }
    end"
[s]MiniMagick::Image,read,Ret,"",MiniMagick::Tool,MiniMagick::Image,T,Twin,"def self.read(stream, ext = nil)
      if stream.is_a?(String)
        stream = StringIO.new(stream)
      end

      create(ext) { |file| IO.copy_stream(stream, file) }
    end"
[s]MiniMagick::Image,import_pixels,Arg,blob,{ [s]MiniMagick::Image#import_pixels arg: blob },String,N,,"def self.import_pixels(blob, columns, rows, depth, map, format = 'png')
      # Create an image object with the raw pixel data string:
      create("".dat"", false) { |f| f.write(blob) }.tap do |image|
        output_path = image.path.sub(/\.\w+$/, "".#{format}"")
        # Use ImageMagick to convert the raw data file to an image file of the
        # desired format:
        MiniMagick::Tool::Convert.new do |convert|
          convert.size ""#{columns}x#{rows}""
          convert.depth depth
          convert << ""#{map}:#{image.path}""
          convert << output_path
        end

        image.path.replace output_path
      end
    end"
[s]MiniMagick::Image,import_pixels,Arg,columns,String,Number,T,Twin,"def self.import_pixels(blob, columns, rows, depth, map, format = 'png')
      # Create an image object with the raw pixel data string:
      create("".dat"", false) { |f| f.write(blob) }.tap do |image|
        output_path = image.path.sub(/\.\w+$/, "".#{format}"")
        # Use ImageMagick to convert the raw data file to an image file of the
        # desired format:
        MiniMagick::Tool::Convert.new do |convert|
          convert.size ""#{columns}x#{rows}""
          convert.depth depth
          convert << ""#{map}:#{image.path}""
          convert << output_path
        end

        image.path.replace output_path
      end
    end"
[s]MiniMagick::Image,import_pixels,Arg,rows,String,Number,T,Twin,"def self.import_pixels(blob, columns, rows, depth, map, format = 'png')
      # Create an image object with the raw pixel data string:
      create("".dat"", false) { |f| f.write(blob) }.tap do |image|
        output_path = image.path.sub(/\.\w+$/, "".#{format}"")
        # Use ImageMagick to convert the raw data file to an image file of the
        # desired format:
        MiniMagick::Tool::Convert.new do |convert|
          convert.size ""#{columns}x#{rows}""
          convert.depth depth
          convert << ""#{map}:#{image.path}""
          convert << output_path
        end

        image.path.replace output_path
      end
    end"
[s]MiniMagick::Image,import_pixels,Arg,depth,String,Number,T,Twin,"def self.import_pixels(blob, columns, rows, depth, map, format = 'png')
      # Create an image object with the raw pixel data string:
      create("".dat"", false) { |f| f.write(blob) }.tap do |image|
        output_path = image.path.sub(/\.\w+$/, "".#{format}"")
        # Use ImageMagick to convert the raw data file to an image file of the
        # desired format:
        MiniMagick::Tool::Convert.new do |convert|
          convert.size ""#{columns}x#{rows}""
          convert.depth depth
          convert << ""#{map}:#{image.path}""
          convert << output_path
        end

        image.path.replace output_path
      end
    end"
[s]MiniMagick::Image,import_pixels,Arg,map,String,String,E,Twin,"def self.import_pixels(blob, columns, rows, depth, map, format = 'png')
      # Create an image object with the raw pixel data string:
      create("".dat"", false) { |f| f.write(blob) }.tap do |image|
        output_path = image.path.sub(/\.\w+$/, "".#{format}"")
        # Use ImageMagick to convert the raw data file to an image file of the
        # desired format:
        MiniMagick::Tool::Convert.new do |convert|
          convert.size ""#{columns}x#{rows}""
          convert.depth depth
          convert << ""#{map}:#{image.path}""
          convert << output_path
        end

        image.path.replace output_path
      end
    end"
[s]MiniMagick::Image,import_pixels,Arg,format,?String,String,E,Constraints,"def self.import_pixels(blob, columns, rows, depth, map, format = 'png')
      # Create an image object with the raw pixel data string:
      create("".dat"", false) { |f| f.write(blob) }.tap do |image|
        output_path = image.path.sub(/\.\w+$/, "".#{format}"")
        # Use ImageMagick to convert the raw data file to an image file of the
        # desired format:
        MiniMagick::Tool::Convert.new do |convert|
          convert.size ""#{columns}x#{rows}""
          convert.depth depth
          convert << ""#{map}:#{image.path}""
          convert << output_path
        end

        image.path.replace output_path
      end
    end"
[s]MiniMagick::Image,import_pixels,Ret,"",{ [s]MiniMagick::Image#import_pixels ret: ret },MiniMagick::Image,N,,"def self.import_pixels(blob, columns, rows, depth, map, format = 'png')
      # Create an image object with the raw pixel data string:
      create("".dat"", false) { |f| f.write(blob) }.tap do |image|
        output_path = image.path.sub(/\.\w+$/, "".#{format}"")
        # Use ImageMagick to convert the raw data file to an image file of the
        # desired format:
        MiniMagick::Tool::Convert.new do |convert|
          convert.size ""#{columns}x#{rows}""
          convert.depth depth
          convert << ""#{map}:#{image.path}""
          convert << output_path
        end

        image.path.replace output_path
      end
    end"
